#User	Dir	Cellname	Size	Nets	Transistors	Runtime	Memory	RequestedMemory
sriniram	/import/siete-vsm-comp6/srini/ST_TO_1_0_pass4/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	644.970	114345	0	2880	30753.875	30194.0
sriniram	/import/siete-vsm-comp6/srini/ST_TO_1_0/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	642.351	114023	0	2699	30712.609	30194.0
sriniram	/import/siete-vsm-comp6/srini/ST_TO_1_0_pass3/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	644.789	114345	0	2605	30751.590	30194.0
sriniram	/import/siete-vsm-comp6/srini/ST_TO_1_0_pass4/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	644.710	114345	0	2619	30752.250	30194.0
sriniram	/import/siete-vsm-comp6/srini/ST_TO_1_0_pass4/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	644.710	114345	0	2615	30752.316	30194.0
sriniram	/import/siete-vsm-comp6/srini/ST_TO_1_0_pass4/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	645.346	114345	0	2634	30755.918	30194.0
sriniram	/import/siete-vsm-comp6/srini/ST_TO_1_0_pass4/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	645.344	114345	0	2829	30755.875	30194.0
sriniram	/import/siete-vsm-comp6/srini/ST_TO_1_0_pass3/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	644.657	114188	0	3168	30727.398	30194.0
mesu	/import/siete-vsm-comp3/mesu/st_cdmspp/clusters/vsm/siete/vsm/vsm_l/vsm/sigem/sigem	vsm	318.568	49647	0	955	16299.891	15644.0
wau	/import/pcad-eda-emir-disk13/william/sigem_runs/MULTI_VOLT_DEV/vsm/SHIRLEY_VSM_TEST2/sigem	vsm	631.012	110087	0	2870	26889.730	26341.0
wau	/import/pcad-eda-emir-disk13/william/sigem_runs/MULTI_VOLT_DEV/vsm/SHIRLEY_VSM_TEST2/sigem	vsm	639.758	113755	0	2850	27970.414	26341.0
wau	/import/pcad-eda-emir-disk13/william/sigem_runs/MULTI_VOLT_DEV/vsm/SHIRLEY_VSM_TEST2/sigem	vsm	639.663	113755	0	875	27960.430	26341.0
wau	/import/pcad-eda-emir-disk13/william/sigem_runs/MULTI_VOLT_DEV/vsm/SHIRLEY_VSM_TEST2/sigem_parallel2	vsm	630.922	110087	0	724	26858.078	26341.0
wau	/import/pcad-eda-emir-disk13/william/sigem_runs/MULTI_VOLT_DEV/vsm/SHIRLEY_VSM_TEST2/sigem_sandeep	vsm	631.005	110087	0	1157	26906.027	26341.0
wau	/import/pcad-eda-emir-disk13/william/sigem_runs/MULTI_VOLT_DEV/vsm/SHIRLEY_VSM_TEST2/sigem_parallel	vsm	631.012	110087	0	3235	26903.098	26341.0
wau	/import/pcad-eda-emir-disk13/william/sigem_runs/MULTI_VOLT_DEV/vsm/SHIRLEY_VSM_TEST2/sigem_sandeep	vsm	631.014	110087	0	902	26888.172	26341.0
wau	/import/pcad-eda-emir-disk13/william/sigem_runs/MULTI_VOLT_DEV/vsm/SHIRLEY_VSM_TEST2/sigem_parallel2	vsm	631.012	110087	0	2317	26897.203	26341.0
wau	/import/pcad-eda-emir-disk13/william/sigem_runs/MULTI_VOLT_DEV/vsm/SHIRLEY_VSM_TEST2/sigem	vsm	639.663	113755	0	921	27960.438	26341.0
sgangund	/import/pcad-eda-emir-disk10/sigem_ae/sandeep/sigem/MULTI_VOLT_DEV/vsm/sigem_sieteMethodBuild	vsm	630.878	110087	0	766	27171.277	27385.0
sgangund	/import/pcad-eda-emir-disk10/sigem_ae/sandeep/sigem/MULTI_VOLT_DEV/vsm/sigem_sieteLocal	vsm	630.878	110087	0	780	27171.230	27385.0
sgangund	/import/pcad-eda-emir-disk10/sigem_ae/sandeep/sigem/MULTI_VOLT_DEV/vsm/sigem_sieteLocal_orig	vsm	606.660	107618	0	714	26200.875	27385.0
sgangund	/import/pcad-eda-emir-disk10/sigem_ae/sandeep/sigem/MULTI_VOLT_DEV/vsm/sigem_sieteLocal	vsm	606.660	107618	0	705	26148.816	27385.0
sgangund	/import/siete-sca-sigem5/Sandeep/vsm/SHIRLEY_VSM_TEST/sigem	vsm	639.663	113755	0	785	27937.496	27385.0
sgangund	/import/pcad-eda-emir-disk10/sigem_ae/sandeep/sigem/MULTI_VOLT_DEV/vsm/sigem_sieteLocal	vsm	606.660	107618	0	700	26148.664	27385.0
sgangund	/import/siete-sca-sigem5/Sandeep/vsm/sigem	vsm	630.921	110087	0	2233	30302.789	27385.0
sgangund	/import/siete-sca-sigem5/Sandeep/vsm/SHIRLEY_VSM_TEST/sigem	vsm	639.663	113755	0	772	27937.492	27385.0
sgangund	/import/pcad-eda-emir-disk13/CLARINET_TUBA_QUALIFICATION/SIGEM/SIETE/MegaCells/cl_mc1_stadd20_12x/sigem	cl_mc1_stadd20_12x	0.270	214	0	0	360.797	NA
sgangund	/import/pcad-eda-emir-disk13/CLARINET_TUBA_QUALIFICATION/SIGEM/SIETE/MegaCells/cl_mc1_stadd20_12x/sigem	cl_mc1_stadd20_12x	2.589	214	0	3	399.609	NA
sgangund	/import/pcad-eda-emir-disk13/CLARINET_TUBA_QUALIFICATION/SIGEM/TAHOE/LibraryCells/cl_u1ulvt20_aoi32_12x/sigem	cl_u1ulvt20_aoi32_12x	0.271	25	60	1	347.559	NA
shuazhou	/import/siete-aus-sigem-nobackup1/zhou/testcases/l2i_libfail/ctlIn1_l/sigem	l2i_batch629	30.360	634	5669	5	437.047	NA
shuazhou	/import/siete-aus-sigem-nobackup1/zhou/testcases/l2i_libfail/SHIRLEY_l2i_issue/sigem	l2i_batch629	30.360	634	5669	5	437.004	NA
shuazhou	/import/siete-aus-sigem-nobackup1/zhou/testcases/l2i_libfail/ctlIn1_l/sigem	l2i_batch629	30.360	634	5669	5	437.047	NA
shuazhou	/import/siete-aus-sigem-nobackup1/zhou/testcases/l2i_libfail/SHIRLEY_l2i_issue/sigem	l2i_batch629	30.360	634	5669	5	437.031	NA
shuazhou	/import/siete-aus-sigem-nobackup1/zhou/testcases/l2i_libfail/ctlIn1_l/sigem	l2i_batch629	30.360	634	5669	4	437.043	NA
sgangund	/import/pcad-eda-emir-disk10/sigem_ae/sandeep/sigem/SHIRLEY_l2i_issue/sigem	l2i_batch629	30.360	634	5669	4	436.965	NA
sgangund	/import/pcad-eda-emir-disk10/sigem_ae/sandeep/sigem/SHIRLEY_l2i_issue/sigem_mod	l2i_batch629	30.360	634	5669	3	437.016	NA
sgangund	/import/pcad-eda-emir-disk10/sigem_ae/sandeep/sigem/SHIRLEY_l2i_issue/sigem_mod	l2i_batch629	30.360	634	5669	4	437.023	NA
sgangund	/import/pcad-eda-emir-disk13/CLARINET_TUBA_QUALIFICATION/SIGEM/SIETE/LibraryCells/cl_u1ulvt20_nand2_24x/sigem	cl_u1ulvt20_nand2_24x	0.123	9	24	0	346.863	NA
sgangund	/import/pcad-eda-emir-disk13/CLARINET_TUBA_QUALIFICATION/SIGEM/SIETE/LibraryCells/cl_u1ulvt20_nand2_24x/sigem	cl_u1ulvt20_nand2_24x	0.123	9	24	0	346.906	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	93.837	796	8921	27	597.359	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	60.025	708	8423	18	510.895	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	60.025	708	8423	18	510.891	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	93.837	796	8921	27	597.359	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	93.837	796	8921	27	597.363	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	60.025	708	8423	18	510.895	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	60.025	708	8423	17	510.895	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem/sigem	st_r_an_l3d_ref	60.025	708	8423	19	510.891	NA
panxu	/import/siete-sca-socsram13/panxu/stcdmspp/customs/srams/cust/st_r_an_l3d_ref_l/st_r_an_l3d_ref/sigem_abstract/sigem/sigem	st_r_an_l3d_ref	93.837	796	8933	27	597.375	NA
